,0,1
0,48,10.0
0,All Queens Chess,
1,Andantino,
2,Connect Four,
3,Connect6,
4,Gomoku,
5,Three Men's Morris,
6,Yavalath,
7,Squava,
8,Dai Hasami Shogi,
9,Tic-Tac-Four,
10,Pentalath,
11,Spline,
12,Ultimate Tic-Tac-Toe,
13,Score Four,
14,Flowers,
15,Sujjua,
16,Tapatan,
17,Liu Tsi,
18,Fanorona Telo,
19,Broken Line,
20,Engijn Zirge,
21,Bravalath,
22,Tic-Tac-Die,
23,Katsela,
24,3D Tic-Tac-Toe,
25,Fivalath,
26,Unfair,
27,Pente,
28,Keryo-Pente,
29,Quixo,
30,Fart (5x5),
31,Yavalax,
