,0,1
0,9,30.0
0,Breakthrough,
1,Knightthrough,
2,Gyan Chaupar,
3,Tamman,
4,Jungle,
5,Dai Hasami Shogi,
6,EinStein Wurfelt Nicht,
7,Tsaydithl,
8,Breakthrough Checkers,
9,Jeson Mor,
10,Omny,
11,Shobu,
12,Gyre,
