,0,1
0,42,18.0
0,Hex,
1,Y (Hex),
2,Havannah,
3,Cross,
4,Chameleon,
5,Gonnect,
6,Y,
7,Gale,
8,Diagonal Hex,
9,Crossway,
10,Esa Hex,
11,DuploHex,
12,Master Y,
13,Tabu Y,
14,Pippinzip (Zipline variant),
15,Resolve,
