
Coyot
Mysore Tiger (Three Tigers
Yaguarete Kor
Bouge Shodr
Orissa Tiger (One Tiger
Yeung Luk Sz' Kon Tseung Kwa
Mao Naga Tiger Gam
Janes Sopp
Huli-Mane At
La Yagu
Merimueng-rimueng
Mysore Tiger (Two Tigers)
Juroku Musashi
Haretavl
Demala Diviyan Keliya
N Puzzles
Pulijudamu
Hund efter Hare (Vendsyssel)
Thermenmuseum
T'uk T'uk
Shui Yen Ho-Shang
Komikan
Wolf und Schaaf
Gurvan Xudag
Bagh Guti
Refskak
Shiva
Adugo
Orissa Tiger (Four Tigers)
Dam (Singapore)
Hyvn aetter Hare
Ram Tir
Jeu de Renard (Two Foxes)
Merimueng-rimueng-do
Tic-Tac-Mo
Mysore Tiger Game
Janes Soppi (Symmetrical)
Musinaykahwhanmetowaywin
Tuknanavuhpi
Latin Square
Bam Blang Beh Khla
Tides
Hamiltonian Maze
Quantum Leap
Pachih
Tayam Sonalu
Petol
Siga (Sri Lanka)
Pahada Keliya
Nebakuthana
Los Palos
Tawula
Kawade Kelia
Asi Keliya
Verquere
Los Escaques
Saxun
Breakthrough Chess
Currierspiel
Rumi Shatranj
Lombard Chess
Ouk Chatrang
Persian Chess with a Queen
Cittabhramanrpasya Khelanam
Welschschach
Safe Passage
Chaturanga (12x12)
Sarvatobhadra
Shodra
Ploy
Taikyoku Shogi
Motiq
Gabata (Oromo)
Awagagae
Gabata (Wuqro)
Gabata (Adegrat)
Gabata (Ghinda)
Gamacha
Andada
Hufesay
Tchela
Gabata (Ansaba)
Dabuda
Koro
Kanji Guti
French Wari
Katro
